x0000,y0000
142,4.102705078,
143,4.041461589,
144,3.98906901,
145,4.069690755,
146,4.028759766,
147,4.051907552,
148,4.222399089,
149,4.930263672,
150,5.023662109,
151,5.107434896,
152,5.138434245,
153,5.138434245,
154,5.260270182,
155,5.260270182,
156,5.314733073,
157,5.431523438,
158,5.483170573,
159,5.483125,
160,5.457379557,
161,5.45718099,
162,5.501663411,
163,5.628805339,
164,5.70906901,
165,5.704091797,
166,5.721429036,
167,5.765208333,
168,5.792200521,
169,5.792200521,
170,5.848447266,
171,5.848447266,
172,5.864912109,
173,5.945377604,
174,6.002255859,
175,6.020520833,
176,6.010540365,
177,6.088652344,
178,6.158854167,
179,6.100690104,
180,6.215693359,
181,6.202991536,
182,6.215328776,
183,6.238854167,
184,6.24008138,
185,6.317259115,
186,6.31773763,
187,6.31773763,
188,6.526539714,
189,6.526539714,
190,6.449309896,
191,6.426875,
192,6.452431641,
193,6.487392578,
194,6.532972005,
195,6.625016276,
196,6.744514974,
197,6.739156901,
198,6.617535807,
199,6.782018229,
200,6.862773437,
201,6.81320638,
202,6.928053385,
203,6.928053385,
204,6.92594401,
205,6.92594401,
206,6.930885417,
207,7.007171224,
208,6.976136068,
209,7.013027344,
210,6.969746094,
211,7.082034505,
212,7.075117188,
213,7.061292318,
214,7.112945964,
215,7.190852865,
216,7.174121094,
217,7.2328125,
218,7.197923177,
219,7.197923177,
220,7.287597656,
221,7.287597656,
222,7.346982422,
223,7.356386719,
224,7.29960612,
225,7.287542318,
226,7.374394531,
227,7.316458333,
228,7.450299479,
229,7.378160807,
230,7.543779297,
231,7.488297526,
232,7.494544271,
233,7.466230469,
234,7.513427734,
235,7.513427734,
236,7.539560547,
237,7.539560547,
238,7.615227865,
239,7.63188151,
240,7.575198568,
241,7.718427734,
242,7.667903646,
243,7.692109375,
244,7.802890625,
245,7.812646484,
246,7.739309896,
247,7.746582031,
248,7.768385417,
249,7.78203125,
250,7.85281901,
251,7.85281901,
252,7.892597656,
253,7.892597656,
254,7.789827474,
255,7.894882812,
256,7.961077474,
257,7.943766276,
258,7.903339844,
259,8.004482422,
260,7.993375651,
261,7.886722005,
262,7.853736979,
263,8.025260417,
264,7.933375651,
265,8.009287109,
266,8.043733724,
267,8.043733724,
268,8.037226563,
269,8.037226563,
270,8.048626302,
271,8.074752604,
272,8.101650391,
273,8.140374349,
274,8.147027995,
275,8.141595052,
276,8.112255859,
277,8.166132813,
